,Name,redshift,radius,inc,logM,logM_var,logSFR,logSFR_var,logZ0,dlogZ,logZ0_var,dlogZ_var,logZ0_dlogZ_var,grad_type,js_dist
28,b'UDFMosaic_00865',0.22713999450206757,0.38421326913883935,61.07521348664658,9.322,0.005256249999999969,-0.5127760036217631,0.00010358495821489284,0.17243430410270574,-0.05752041402008525,0.00020440902327535323,5.352155249035236e-05,-8.724566805006249e-05,b'negative',0.010223633281821647
29,b'UDFMosaic_00867',0.4355199933052063,0.19809044000528464,41.408073269349515,10.43,0.004225000000000051,0.18182147647314417,0.05892356030402076,0.3736483227122996,0.04467414140504676,0.0002357598281675423,9.38605100539148e-05,-0.00012033436259733407,b'positive',0.03991833060198896
30,b'UDFMosaic_00869',0.66505,0.5256298928955281,22.139352782118017,10.09,0.008099999999999975,1.117291321330242,0.057413561585218244,0.6921872631372972,-0.36534181534766735,3.7605589923179015e-05,7.457403917517827e-05,-3.09166843723414e-05,b'negative',0.01459385660655561
31,b'UDFMosaic_00874',0.4581800103187561,0.13018990812138187,21.313547093681425,10.02,0.012432249999999886,0.8907915191199502,0.051609227615589635,0.49265002121972157,-0.1268592763741245,0.0010073054188612176,0.0003977495120752178,-0.0006124867173802378,b'negative',0.03509166861884128
32,b'UDFMosaic_00875',0.6666,0.5013977781967445,58.390104401989056,10.17,0.00490000000000004,1.4202793677219145,0.07033691086657429,0.46407374865419543,-0.16688018486690034,0.0007553022482788277,0.0001358260801066346,-0.00014057261736172378,b'negative',0.00956669630174219
33,b'UDFMosaic_00877',0.21816,0.6177004199084646,41.221877240509706,8.737,0.006006249999999951,-0.77686286820479,0.0003189101466621052,0.42074941316008957,-0.18423012261414795,0.0005618613145423182,0.0002575642243570882,-0.00030858294578135824,b'negative',0.02069924345998076
34,b'UDFMosaic_00878',0.27557000517845154,0.2904890504239134,46.40070117856306,9.487,0.008556250000000046,-0.7935702445337438,0.00023712338414379671,0.44943105699693764,-0.11028580013442621,0.0008099798216616186,0.0002449224820529322,-0.0004164258970645329,b'negative',0.015291288667207487
35,b'UDFMosaic_00884',0.73721,0.13131060653187646,44.52901770098045,10.09,0.006400000000000012,1.1906022062450807,0.06207043351329672,-0.39450452000118497,0.13047645470050087,0.009852263568424354,0.0006235305714700068,-0.001736685101951284,b'positive',0.025092571706251572
36,b'UDFMosaic_00885',0.3474299907684326,0.3888118469606609,20.1325567675285,9.117,0.004225000000000051,-0.4455807339656461,0.0001843923671401179,0.14556917564820634,-0.08880353759476842,0.0005037910052272993,6.918117307915469e-05,-6.207854693857132e-05,b'negative',0.008124520804125717
37,b'UDFMosaic_00890',0.5743399858474731,0.5668406618006128,17.892768654483593,9.482,0.007656250000000062,0.5158154910081131,0.1558809431139781,0.39995319147421543,-0.2804397801612748,0.0016024753409323923,0.0006427643153510277,-1.0708115686826902e-05,b'negative',0.011231278752743075
38,b'UDFMosaic_00891',0.226500004529953,0.5321908667129918,69.13684817634169,7.952,0.004224999999999993,-0.23371064288601712,7.591534488860042e-05,-0.38580362692562636,-0.12634104749482397,0.007568270514807454,0.008052788440517957,-0.007719007515682622,b'flat',0.029010066879583876
39,b'UDFMosaic_00892',0.7364,0.2693794004964384,28.884058975144065,9.942,0.0030249999999999687,0.6716841233647711,0.1597353516264701,-0.21878443475218393,0.20567462381793983,0.09884536894867778,0.02299499706709278,-0.03973726186554412,b'positive',0.2616704795392334
40,b'UDFMosaic_00897',0.7675899863243103,0.5423489469838791,21.78915355678933,9.562,0.0068062499999999295,0.5258337465053986,0.17193904941776084,0.5908913878695401,-0.40741547824210617,0.0030385052144070285,0.003378495201533147,-0.0028399021740874815,b'negative',0.0253782335276818
41,b'UDFMosaic_00898',0.21671,0.3325706248664513,25.928279986812395,8.362,0.003599999999999953,-1.5517992041857147,0.00047878273732266134,-0.016376702186321392,-0.013909308900410361,0.004567343665674412,0.00105341119974987,-0.0017200323501427816,b'flat',0.029173187999024238
42,b'UDFMosaic_00904',0.73632,0.13365597754537084,22.88410887856834,9.822,0.006006249999999951,0.7721790953679859,0.17775953215452028,0.6087260380947527,-0.24551739254666166,0.004500846971621431,0.0009951721350987526,-0.0011390911849197608,b'negative',0.3262018065396945
43,b'UDFMosaic_00909',0.737500011920929,0.4051828887003461,56.84016388242051,9.257,0.006006250000000088,0.4285677092398017,0.13524867879818858,0.06622646679261929,-0.16723066874951614,0.08290343827856195,0.021355380242090667,-0.0399024893855706,b'flat',0.034440750122529555
44,b'UDFMosaic_00912',0.6189500093460083,0.14023720577948692,23.22359292014583,9.192,0.006006250000000088,0.17583468108163253,0.17353793347260266,0.1941461853959228,-0.1159017316461877,0.020905766564904445,0.0019855381666352674,-0.0019090450933846768,b'negative',0.07607080054058538
45,b'UDFMosaic_00914',0.7343900203704834,0.3702828972537099,59.72997904749815,9.292,0.00390625,0.06209216582424847,0.15458031787208992,0.2769600755460206,-0.24747932677333412,0.012447901143507559,0.008709539231213611,-0.0070132177771705375,b'negative',0.032910536729146525
46,b'UDFMosaic_00922',0.21458,0.15913153288260734,52.51955899987246,7.612,0.005625000000000027,-1.048686521946672,0.00012941265069856252,0.14818579850604705,-0.06446815868875942,0.15287615843723407,0.005170989653657557,-0.025226458478478302,b'flat',0.46443829564643035
47,b'UDFMosaic_00923',0.21324999630451202,0.17253694797030733,58.60771109505899,7.657,0.0018062499999999984,-1.1100106453777931,0.00021173206402815107,-0.21373722999153008,0.1348656736904558,0.003508672698182301,0.0006660084005007029,-0.0013850997048487233,b'positive',0.26632737715145194
48,b'UDFMosaic_00926',0.6672,0.1603358379932546,52.35426646687872,9.267,0.0036000000000000597,0.1520138896413012,0.07780672266703971,-0.022288446799104283,0.07099514801991261,0.012784410575841178,0.0013786713602326494,0.0002028404035730239,b'flat',0.06245682091895665
49,b'UDFMosaic_00944',0.32328999042510986,0.11126995576204742,56.75529984956849,8.292,0.004556249999999986,-1.3218836176988404,0.0006630761022747817,-0.1632042927752418,-0.028626147523595078,0.0657263514495799,0.007734843320261793,-0.015788955004510965,b'flat',0.4331958452722348
50,b'UDFMosaic_00945',0.60508,0.17463016323216152,67.53131927815747,8.702,0.0068062499999999295,0.11721828630229669,0.09794474684277431,-0.026284650860806138,-0.11116756996236789,0.03454678393472725,0.004814686819661519,-0.012371473314206752,b'flat',0.039462010549425816
